name,referencePath,policyType,category,displayName,description,groupNames,policySets,allowedEffects,devEffect,devParameters,prodEffect,prodParameters
ee7495e7-3ba7-40b6-bfee-c29e22cc75d4,,BuiltIn,API Management,API Management APIs should use only encrypted protocols,"To ensure security of data in transit, APIs should be available only through encrypted protocols, like HTTPS or WSS. Avoid using unsecured protocols, such as HTTP or WS.",Azure_Security_Benchmark_v3.0_DP-3,MCSB: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
c15dcc82-b93c-4dcb-9332-fbf121685b54,,BuiltIn,API Management,API Management calls to API backends should be authenticated,"Calls from API Management to backends should use some form of authentication, whether via certificates or credentials. Does not apply to Service Fabric backends.",Azure_Security_Benchmark_v3.0_IM-4,MCSB: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
92bb331d-ac71-416a-8c91-02f2cb734ce4,,BuiltIn,API Management,API Management calls to API backends should not bypass certificate thumbprint or name validation,"To improve the API security, API Management should validate the backend server certificate for all API calls. Enable SSL certificate thumbprint and name validation.",Azure_Security_Benchmark_v3.0_IM-4,MCSB: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
b741306c-968e-4b67-b916-5675e5c709f4,,BuiltIn,API Management,API Management direct management endpoint should not be enabled,"The direct management REST API in Azure API Management bypasses Azure Resource Manager role-based access control, authorization, and throttling mechanisms, thus increasing the vulnerability of your service.",Azure_Security_Benchmark_v3.0_PV-2,MCSB: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
549814b6-3212-4203-bdc8-1548d342fb67,,BuiltIn,API Management,API Management minimum API version should be set to 2019-12-01 or higher,"To prevent service secrets from being shared with read-only users, the minimum API version should be set to 2019-12-01 or higher.","Azure_Security_Benchmark_v3.0_IM-8,Azure_Security_Benchmark_v3.0_PV-2",MCSB: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
f1cc7827-022c-473e-836e-5a51cae0b249,,BuiltIn,API Management,API Management secret named values should be stored in Azure Key Vault,"Named values are a collection of name and value pairs in each API Management service. Secret values can be stored either as encrypted text in API Management (custom secrets) or by referencing secrets in Azure Key Vault. To improve security of API Management and secrets, reference secret named values from Azure Key Vault. Azure Key Vault supports granular access management and secret rotation policies.","Azure_Security_Benchmark_v3.0_IM-8,Azure_Security_Benchmark_v3.0_DP-6",MCSB: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
ef619a2c-cc4d-4d03-b2ba-8c94a834d85b,,BuiltIn,API Management,API Management services should use a virtual network,"Azure Virtual Network deployment provides enhanced security, isolation and allows you to place your API Management service in a non-internet routable network that you control access to. These networks can then be connected to your on-premises networks using various VPN technologies, which enables access to your backend services within the network and/or on-premises. The developer portal and API gateway, can be configured to be accessible either from the Internet or only within the virtual network.",Azure_Security_Benchmark_v3.0_NS-2,MCSB: Audit (default: aPIManagementServicesShouldUseAVirtualNetworkMonitoringEffect),"parameter: Audit,Disabled",Audit,"{""aPIManagementServicesShouldUseAVirtualNetworkEvaluatedSkuNames"":[""Developer"",""Premium""]}",Audit,"{""aPIManagementServicesShouldUseAVirtualNetworkEvaluatedSkuNames"":[""Developer"",""Premium""]}"
df73bd95-24da-4a4f-96b9-4e8b94b402bd,,BuiltIn,API Management,API Management should disable public network access to the service configuration endpoints,"To improve the security of API Management services, restrict connectivity to service configuration endpoints, like direct access management API, Git configuration management endpoint, or self-hosted gateways configuration endpoint.",Azure_Security_Benchmark_v3.0_NS-2,MCSB: AuditIfNotExists (Policy Default),"override: AuditIfNotExists,Disabled",AuditIfNotExists,,AuditIfNotExists,
3aa03346-d8c5-4994-a5bc-7652c2a2aef1,,BuiltIn,API Management,API Management subscriptions should not be scoped to all APIs,"API Management subscriptions should be scoped to a product or an individual API instead of all APIs, which could result in an excessive data exposure.",Azure_Security_Benchmark_v3.0_PA-7,MCSB: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
1dc2fc00-2245-4143-99f4-874c937f13ef,,BuiltIn,API Management,Azure API Management platform version should be stv2,"Azure API Management stv1 compute platform version will be retired effective 31 August 2024, and these instances should be migrated to stv2 compute platform for continued support. Learn more at https://learn.microsoft.com/azure/api-management/breaking-changes/stv1-platform-retirement-august-2024","Azure_Security_Benchmark_v3.0_PV-2,Azure_Security_Benchmark_v3.0_AM-2",MCSB: Audit (Policy Default),"override: Deny,Audit,Disabled",Audit,,Audit,
